Predateur;Proie;Nom_vernaculaire;Proie(acc_name);Type;Pays;Région;Site;Date;Scavenger;Source;Commentaires
Tyto alba punctatissima;Laterallus spilonotus;Galapagos rail;;Feeds on;Ecuador;Galapagos Islands;;;;Origin, status and ecology of the owls in Galapagos;Analyses de boulettes
Tyto alba punctatissima;Neocrex erytrops;Paint-billed crake;;Feeds on;Ecuador;Galapagos Islands;;;;Origin, status and ecology of the owls in Galapagos;Analyses de boulettes
Tyto alba punctatissima;Coccyzus melacoryphus;Dark-billed Cuckoo;;Feeds on;Ecuador;Galapagos Islands;;;;Origin, status and ecology of the owls in Galapagos;Analyses de boulettes
Tyto alba punctatissima;Dendroica petechia;Yellow warbler;;Feeds on;Ecuador;Galapagos Islands;;;;Origin, status and ecology of the owls in Galapagos;Analyses de boulettes
Tyto alba punctatissima;Geospizinae sp.;;;Feeds on;Ecuador;Galapagos Islands;;;;Origin, status and ecology of the owls in Galapagos;Analyses de boulettes
Tyto alba punctatissima;Geospiza fuliginosa;Small Ground Finch;;Feeds on;Ecuador;Galapagos Islands;;;;Origin, status and ecology of the owls in Galapagos;Analyses de boulettes
Tyto alba punctatissima;Geospiza fortis;Medium Ground Finch;;Feeds on;Ecuador;Galapagos Islands;;;;Origin, status and ecology of the owls in Galapagos;Analyses de boulettes
Tyto alba punctatissima;Camarhynchus parvulus;Small Tree Finch;;Feeds on;Ecuador;Galapagos Islands;;;;Origin, status and ecology of the owls in Galapagos;Analyses de boulettes
Tyto alba punctatissima;Certidea olivacea;Warbler Finch;;Feeds on;Ecuador;Galapagos Islands;;;;Origin, status and ecology of the owls in Galapagos;Analyses de boulettes
Tyto alba punctatissima;Rattus rattus;Black rat;;Feeds on;Ecuador;Galapagos Islands;;;;Origin, status and ecology of the owls in Galapagos;Analyses de boulettes
Tyto alba punctatissima;Rattus norvegicus;Brown rats;;F;Ecuador;Galapagos Islands;;;;Wildlife of the Galapagos;
Tyto alba punctatissima;Mus musculus;House mouse;;Feeds on;Ecuador;Galapagos Islands;;;;Origin, status and ecology of the owls in Galapagos;Analyses de boulettes
Tyto alba punctatissima;Cavia aperea;Guinea pig;;Feeds on;Ecuador;Galapagos Islands;;;;Origin, status and ecology of the owls in Galapagos;Analyses de boulettes
Tyto alba punctatissima;Lasiurus cinereus;Hoary bat;;Feeds on;Ecuador;Galapagos Islands;;;;Origin, status and ecology of the owls in Galapagos;Analyses de boulettes
Tyto alba punctatissima;Lasiurus borealis brachyotis;Red bat;;Feeds on;Ecuador;Galapagos Islands;;;;https://doi.org/10.1111/j.1469-7998.1997.tb01974.x;Pellets datant d'avant l'extinction de tyto alba de l'ile Floreana
Tyto alba punctatissima;Pyrocephalus rubinus;Vermillion Flycatcher;;Feeds on;Ecuador;Galapagos Islands;;;;Origin, status and ecology of the owls in Galapagos;
Tyto alba punctatissima;Camarhynchus pallidus;Woodpecker finch;;Feeds on;Ecuador;Galapagos Islands;;;;Origin, status and ecology of the owls in Galapagos;
Tyto alba punctatissima;Nesoryzomis indefessus;Rice rat;;Feeds on;Ecuador;Galapagos Islands;;;;Origin, status and ecology of the owls in Galapagos;
Tyto alba punctatissima;Nesoryzomis darwini;Rice rat;;Feeds on;Ecuador;Galapagos Islands;;;;Origin, status and ecology of the owls in Galapagos;
Tyto alba punctatissima;Megalomys curioi;Giant rat;;Feeds on;Ecuador;Galapagos Islands;;;;Origin, status and ecology of the owls in Galapagos;
Tyto alba punctatissima;Aegialomys galapagoensis;Rice rat;;Feeds on;Ecuador;Galapagos Islands;;;;A Galapagos Island Food Chain: A Who-Eats-What Adventure;
Tyto alba punctatissima;Tropidurus spp.;Lava lizards;;Feeds on;Ecuador;Galapagos Islands;;;;A Galapagos Island Food Chain: A Who-Eats-What Adventure;
Tyto alba punctatissima;Amblyrhynchus cristatus;Marine iguana;;Feeds on young;Ecuador;Galapagos Islands;;;;A Galapagos Island Food Chain: A Who-Eats-What Adventure;
Tyto alba punctatissima;Phalacrocorax harrisi;Flightless cormorant;;Feeds on young;Ecuador;Galapagos Islands;;;;A Galapagos Island Food Chain: A Who-Eats-What Adventure;
Tyto alba punctatissima;Sula nebouxii;Blue-footed boobies;;Feeds on young;Ecuador;Galapagos Islands;;;;A Galapagos Island Food Chain: A Who-Eats-What Adventure;
Tyto alba punctatissima;Spheniscus mendiculus;Galapagos penguin;;Feeds on young;Ecuador;Galapagos Islands;;;;A Galapagos Island Food Chain: A Who-Eats-What Adventure;
Tyto alba punctatissima;Conolophus sp.;Land iguana;;Feeds on young;Ecuador;Galapagos Islands;;;;Galapagos. A Natural Histor (Book by Michael H. Jackson);
Tyto alba punctatissima;Fregata sp.;Frigatebirds;;Feeds on young;Ecuador;Galapagos Islands;;;;Galapagos. A Natural Histor (Book by Michael H. Jackson);
Tyto alba punctatissima;Geochelone elephantopus;Giant tortoise;;Feeds on young;Ecuador;Galapagos Islands;;;;Wildlife of the Galapagos;
Zenaida galapagoensis;Lepidoptera;Caterpillars;;Feeds on larvae;Ecuador;Galapagos Islands;Genovesa;;;Breeding and Feeding Ecology of the Galápagos Dove;
Zenaida galapagoensis;Opuntia sp.;;;Feeds on fruits;Ecuador;Galapagos Islands;;;;Galapagos. A Natural Histor (Book by Michael H. Jackson);
Zenaida galapagoensis;Opuntia helleri;;;Feeds on flower;Ecuador;Galapagos Islands;Genovesa;;;Breeding and Feeding Ecology of the Galápagos Dove;
Zenaida galapagoensis;Croton scouleri;;;Feeds on fruit;Ecuador;Galapagos Islands;Genovesa;;;Breeding and Feeding Ecology of the Galápagos Dove;
Zenaida galapagoensis;Croton scouleri;;;Feeds on seeds;Ecuador;Galapagos Islands;;;;Galapagos. A Natural Histor (Book by Michael H. Jackson);
Zenaida galapagoensis;Heliotropium angiospermum;;;Feeds on fruit;Ecuador;Galapagos Islands;Genovesa;;;Breeding and Feeding Ecology of the Galápagos Dove;
Zenaida galapagoensis;Chamaesyce recurva;;;Feeds on fruit;Ecuador;Galapagos Islands;Genovesa;;;Breeding and Feeding Ecology of the Galápagos Dove;
Zenaida galapagoensis;Portulaca howellii;;;Feeds on fruit;Ecuador;Galapagos Islands;Genovesa;;;Breeding and Feeding Ecology of the Galápagos Dove;
Zenaida galapagoensis;Waltheria ovata;;;Feeds on fruit;Ecuador;Galapagos Islands;Genovesa;;;Breeding and Feeding Ecology of the Galápagos Dove;
Zenaida galapagoensis;Sesuvium edmonstonei;;;Feeds on fruit;Ecuador;Galapagos Islands;Genovesa;;;Breeding and Feeding Ecology of the Galápagos Dove;
Zenaida galapagoensis;Ipomoea linearfolia;;;Feeds on fruit;Ecuador;Galapagos Islands;Genovesa;;;Breeding and Feeding Ecology of the Galápagos Dove;
Zenaida galapagoensis;Eragrostis ciliaris;;;Feeds on fruit;Ecuador;Galapagos Islands;Genovesa;;;Breeding and Feeding Ecology of the Galápagos Dove;
Zenaida galapagoensis;Opuntia helleri;;;Feeds on;Ecuador;Galapagos Islands;Genovesa;;;Breeding and Feeding Ecology of the Galápagos Dove;
Zenaida galapagoensis;Bursera graveolens;;;Feeds on fruit;Ecuador;Galapagos Islands;Genovesa;;;Breeding and Feeding Ecology of the Galápagos Dove;
Zenaida galapagoensis;Cyperus anderssoni;;;Feeds on;Ecuador;Galapagos Islands;Genovesa;;;Breeding and Feeding Ecology of the Galápagos Dove;
Zenaida galapagoensis;Cryptocarpus sp.;;;Feeds on;Ecuador;Galapagos Islands;Genovesa;;;Breeding and Feeding Ecology of the Galápagos Dove;
Zenaida galapagoensis;Lantana peduncularis;;;Feeds on flower;Ecuador;Galapagos Islands;Genovesa;;;Breeding and Feeding Ecology of the Galápagos Dove;
Zenaida galapagoensis;Sida salviifolia;;;Feeds on buds;Ecuador;Galapagos Islands;Genovesa;;;Breeding and Feeding Ecology of the Galápagos Dove;
Zenaida galapagoensis;Isoptera;Termites;;Feeds on;Ecuador;Galapagos Islands;Genovesa;;;Breeding and Feeding Ecology of the Galápagos Dove;
Zenaida galapagoensis;Merremia aegyptica;;;Feeds on fruit;Ecuador;Galapagos Islands;Daphne Major;;;Breeding and Feeding Ecology of the Galápagos Dove;
Zenaida galapagoensis;Tribulus cistoides;;;Feeds on fruit;Ecuador;Galapagos Islands;Daphne Major;;;Breeding and Feeding Ecology of the Galápagos Dove;
Zenaida galapagoensis;Opuntia echios;;;Feeds on fruit;Ecuador;Galapagos Islands;Daphne Major;;;Breeding and Feeding Ecology of the Galápagos Dove;
Zenaida galapagoensis;Chamaesyce spp.;;;Feeds on fruit;Ecuador;Galapagos Islands;Daphne Major;;;Breeding and Feeding Ecology of the Galápagos Dove;
Zenaida galapagoensis;Amaranthus scleranthoides;;;Feeds on fruit;Ecuador;Galapagos Islands;Daphne Major;;;Breeding and Feeding Ecology of the Galápagos Dove;
Zenaida galapagoensis;Bursera graveolens;;;Feeds on pollen;Ecuador;Galapagos Islands;;;;Bird-flower visitation networks in the Galapagos unveil a widespread interaction release;
Zenaida galapagoensis;Mentzelia aspera;;;Feeds on pollen;Ecuador;Galapagos Islands;;;;Bird-flower visitation networks in the Galapagos unveil a widespread interaction release;
Zenaida galapagoensis;Croton scouleri;;;Feeds on pollen;Ecuador;Galapagos Islands;;;;Bird-flower visitation networks in the Galapagos unveil a widespread interaction release;
Zenaida galapagoensis;Opuntia galapageia;;;Feeds on pollen;Ecuador;Galapagos Islands;;;;Bird-flower visitation networks in the Galapagos unveil a widespread interaction release;
Zenaida galapagoensis;Passiflora suberosa;;;Feeds on pollen;Ecuador;Galapagos Islands;;;;Bird-flower visitation networks in the Galapagos unveil a widespread interaction release;
Zenaida galapagoensis;Chamaesyce amplexicaulis;;;Feeds on pollen;Ecuador;Galapagos Islands;;;;Bird-flower visitation networks in the Galapagos unveil a widespread interaction release;
Zenaida galapagoensis;Panicum dichotomiflorum;;;Feeds on fruits;Ecuador;Galapagos Islands;Santa Cruz;;;Native and introduced birds of Galapagos as dispersers of native and introduced plants;
Zenaida galapagoensis;Paspalum conjugatum;;;Feeds on fruits;Ecuador;Galapagos Islands;Santa Cruz;;;Native and introduced birds of Galapagos as dispersers of native and introduced plants;
Zenaida galapagoensis;Portulaca oleracea;;;Feeds on fruits;Ecuador;Galapagos Islands;Santa Cruz;;;Native and introduced birds of Galapagos as dispersers of native and introduced plants;
Zenaida galapagoensis;Digitaria horizontalis;;;Feeds on fruits;Ecuador;Galapagos Islands;Santa Cruz;;;Native and introduced birds of Galapagos as dispersers of native and introduced plants;
Zenaida galapagoensis;Lepidoptera;Caterpillars;;Feeds on larvae;Ecuador;Galapagos Islands;;;;Galapagos. A Natural History guide (Book by Pierre Constant);
Zenaida galapagoensis;Plumbago scandens;White leadwort;;Feeds on fruits;Ecuador;Galapagos Islands;Pinta;;;Flowering plants of the Galapagos;
Zenaida galapagoensis;Opuntia helleri;;;Feeds on pollen;Ecuador;Galapagos Islands;;;;Flowering plants of the Galapagos;
Zenaida galapagoensis;Amaranthus sclerantoides;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;;;;Frugivory and seed dispersal in the Galapagos;DB based on litterature
Zenaida galapagoensis;Heliotropium angiospermum;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;;;;Frugivory and seed dispersal in the Galapagos;DB based on litterature
Zenaida galapagoensis;Opuntia echios;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;;;;Frugivory and seed dispersal in the Galapagos;DB based on litterature
Zenaida galapagoensis;Ipomoea linearifolia;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;;;;Frugivory and seed dispersal in the Galapagos;DB based on litterature
Zenaida galapagoensis;Merremia aegyptica;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;;;;Frugivory and seed dispersal in the Galapagos;DB based on litterature
Zenaida galapagoensis;Chamaesyce amplexiaculis;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;;;;Frugivory and seed dispersal in the Galapagos;DB based on litterature
Zenaida galapagoensis;Chamaesyce recurva;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;;;;Frugivory and seed dispersal in the Galapagos;DB based on litterature
Zenaida galapagoensis;Plumbago scandens;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;;;;Frugivory and seed dispersal in the Galapagos;DB based on litterature
Zenaida galapagoensis;Eragrostis ciliaris;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;;;;Frugivory and seed dispersal in the Galapagos;DB based on litterature
Zenaida galapagoensis;Portulaca howellii;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;;;;Frugivory and seed dispersal in the Galapagos;DB based on litterature
Zenaida galapagoensis;Sesuvium edmonstoneii;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;;;;Frugivory and seed dispersal in the Galapagos;DB based on litterature
Zenaida galapagoensis;Waltheria ovata;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;;;;Frugivory and seed dispersal in the Galapagos;DB based on litterature
Zenaida galapagoensis;Tribulus cistoides;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;;;;Frugivory and seed dispersal in the Galapagos;DB based on litterature
Zenaida galapagoensis;Cacabus sp.;;;Feeds on;;Galapagos Islands;Genovesa;1978;;The Breeding and Feeding Characteristics of Darwin's Finches on Isla Genovesa, Galapagos;
Zenaida galapagoensis;Carex sp.;;;Feeds on fruits/seeds;;Galapagos Islands;Genovesa;1978;;The Breeding and Feeding Characteristics of Darwin's Finches on Isla Genovesa, Galapagos;
Zenaida galapagoensis;Chamaesyce amplexicaulis;;;Feeds on fruits/seeds;;Galapagos Islands;Genovesa;1978;;The Breeding and Feeding Characteristics of Darwin's Finches on Isla Genovesa, Galapagos;
Zenaida galapagoensis;Eragrostis sp.;;;Feeds on fruits/seeds;;Galapagos Islands;Genovesa;1978;;The Breeding and Feeding Characteristics of Darwin's Finches on Isla Genovesa, Galapagos;
Zenaida galapagoensis;Lantana sp.;;;Feeds on;;Galapagos Islands;Genovesa;1978;;The Breeding and Feeding Characteristics of Darwin's Finches on Isla Genovesa, Galapagos;
Zenaida galapagoensis;Opuntia sp.;;;Feeds on flowers;;Galapagos Islands;Genovesa;1978;;The Breeding and Feeding Characteristics of Darwin's Finches on Isla Genovesa, Galapagos;
Zenaida galapagoensis;Opuntia sp.;;;Feeds on;;Galapagos Islands;Genovesa;1978;;The Breeding and Feeding Characteristics of Darwin's Finches on Isla Genovesa, Galapagos;
Zenaida galapagiensis;Opuntia sp.;;;Feeds on;Ecuador;Galapagos Islands;Daphne Major;1976-1978;;Morphological variation in the Darwin's Finches (Geospizinae) of daphne Major Island, Galapagos;
Alsophis biserialis;Microlophus sp.;Lava lizards;;Feeds on;Ecuador;Galapagos Islands;;;;Potential Influences of Biotic and Abiotic Factors on Patterns of Activity in Galapagos Snakes: Locomotory Performance or Prey Abundance?;
Alsophis biserialis;Phyllodactylus sp.;Geckos;;Feeds on;Ecuador;Galapagos Islands;;;;Potential Influences of Biotic and Abiotic Factors on Patterns of Activity in Galapagos Snakes: Locomotory Performance or Prey Abundance?;
Alsophis biserialis;Mimus sp.;Mockingbird;;Feeds on young;Ecuador;Galapagos Islands;;;;Potential Influences of Biotic and Abiotic Factors on Patterns of Activity in Galapagos Snakes: Locomotory Performance or Prey Abundance?;
Alsophis biserialis;Thraupidae;Finches;;Feeds on young;Ecuador;Galapagos Islands;;;;Potential Influences of Biotic and Abiotic Factors on Patterns of Activity in Galapagos Snakes: Locomotory Performance or Prey Abundance?;
Alsophis biserialis;Conolophus pallidus;;;Feeds on young;Ecuador;Galapagos Islands;Santa Fe;;;Estado poblacional de las iguanas terrestres de (Conolophus subcristatus, C. pallidus y C. marthae: Squamata, Iguanidae), Islas Galápagos ;
Amblyrhynchus cristatus;Hypnea spinella;;;Feeds on;Ecuador;Galapagos Islands;Santa Cruz;2000-2001;;Algal food preferences and seasonal foraging strategy of the marine iguana Amblyrhynchus cristatus, on Santa Cruz, Galapagos;
Amblyrhynchus cristatus;Polysiphonia decussata;;;Feeds on;Ecuador;Galapagos Islands;Santa Cruz;2000-2001;;Algal food preferences and seasonal foraging strategy of the marine iguana Amblyrhynchus cristatus, on Santa Cruz, Galapagos;
Amblyrhynchus cristatus;Ulva sp.;;;Feeds on;Ecuador;Galapagos Islands;Santa Cruz;2000-2001;;Algal food preferences and seasonal foraging strategy of the marine iguana Amblyrhynchus cristatus, on Santa Cruz, Galapagos;
Amblyrhynchus cristatus;Hypnea pannosa;;;Feeds on;Ecuador;Galapagos Islands;Santa Cruz;2000-2001;;Algal food preferences and seasonal foraging strategy of the marine iguana Amblyrhynchus cristatus, on Santa Cruz, Galapagos;
Amblyrhynchus cristatus;Gelidium pusillum;;;Feeds on;Ecuador;Galapagos Islands;Santa Cruz;2000-2001;;Algal food preferences and seasonal foraging strategy of the marine iguana Amblyrhynchus cristatus, on Santa Cruz, Galapagos;
Amblyrhynchus cristatus;Grateloupia howei;;;Feeds on;Ecuador;Galapagos Islands;Santa Cruz;2000-2001;;Algal food preferences and seasonal foraging strategy of the marine iguana Amblyrhynchus cristatus, on Santa Cruz, Galapagos;
Amblyrhynchus cristatus;Pterocladiella capillacea;;;Feeds on;Ecuador;Galapagos Islands;Santa Cruz;2000-2001;;Algal food preferences and seasonal foraging strategy of the marine iguana Amblyrhynchus cristatus, on Santa Cruz, Galapagos;
Amblyrhynchus cristatus;Gelidium sp.;;;Feeds on;Ecuador;Galapagos Islands;;;;Marine iguana project to continue;
Amblyrhynchus cristatus;Centoceras sp.;;;Feeds on;Ecuador;Galapagos Islands;;;;Marine iguana project to continue;
Amblyrhynchus cristatus;Spermothamnium sp.;;;Feeds on;Ecuador;Galapagos Islands;;;;Marine iguana project to continue;
Amblyrhynchus cristatus;;Red algae;;Feeds on;Ecuador;Galapagos Islands;;;;Marine iguana project to continue;Generalist of red and green algae (Galapagos. A Natural Histor (Book by Michael H. Jackson))
Amblyrhynchus cristatus;;Green algae;;Feeds on;Ecuador;Galapagos Islands;;;;Marine iguana project to continue;Generalist of red and green algae (Galapagos. A Natural Histor (Book by Michael H. Jackson))
Amblyrhynchus cristatus;Giffordia mitchelliae;;;Does not eat;Ecuador;Galapagos Islands;;;;Marine iguana project to continue;
Amblyrhynchus cristatus;Blossevillea;Brown seaweed;;Does not eat;Ecuador;Galapagos Islands;;;;Galapagos. A Natural Histor (Book by Michael H. Jackson);
Amblyrhynchus cristatus;Ulva sp.;;;Feeds on;Ecuador;Galapagos Islands;;;;Marine iguanas suffer as El Nino breaks all records;
Amblyrhynchus cristatus;Decapoda;Crabs;;Feeds on;Ecuador;Galapagos Islands;;;Yes;Marine iguanas suffer as El Nino breaks all records;
Amblyrhynchus cristatus;Zalophus wollebacki;Sea lion;;Feeds on;Ecuador;Galapagos Islands;;;Yes;Marine iguanas suffer as El Nino breaks all records;
Amblyrhynchus cristatus;Iguanidae;Iguanas;;Feeds on;Ecuador;Galapagos Islands;;;Yes;Marine iguanas suffer as El Nino breaks all records;
Amblyrhynchus cristatus;Decapoda;Red crabs;;Feeds on faeces;Ecuador;Galapagos Islands;;;;Galapagos. A Natural Histor (Book by Michael H. Jackson);
Amblyrhynchus cristatus;Zalophus wollebacki;Sea lion;;Feeds on faeces;Ecuador;Galapagos Islands;;;;Galapagos. A Natural Histor (Book by Michael H. Jackson);
Amblyrhynchus cristatus;Amblyrhynchus cristatus;Marine iguana;;Feeds on faeces;Ecuador;Galapagos Islands;;;;Galapagos. A Natural Histor (Book by Michael H. Jackson);
Amblyrhynchus cristatus;Batis sp.;;;Feeds on;Ecuador;Galapagos Islands;Seymour Norte;1991;;Miscellaneous notes on Galapagos reptiles;
Chelonoides chathamensis;Citrus sp.;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;San Cristobal;2011;;Contribution by vertebrates to seed dispersal effectiveness in the Galápagos Islands: a community-wide approach;
Chelonoides chathamensis;Clerodendrum molle;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;San Cristobal;2011;;Contribution by vertebrates to seed dispersal effectiveness in the Galápagos Islands: a community-wide approach;
Chelonoides chathamensis;Fimbristylis dichotoma;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;San Cristobal;2011;;Contribution by vertebrates to seed dispersal effectiveness in the Galápagos Islands: a community-wide approach;
Chelonoides chathamensis;Hippomane mancinella;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;San Cristobal;2011;;Contribution by vertebrates to seed dispersal effectiveness in the Galápagos Islands: a community-wide approach;
Chelonoides chathamensis;Ipomoea nil;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;San Cristobal;2011;;Contribution by vertebrates to seed dispersal effectiveness in the Galápagos Islands: a community-wide approach;
Chelonoides chathamensis;Lantana camara;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;San Cristobal;2011;;Contribution by vertebrates to seed dispersal effectiveness in the Galápagos Islands: a community-wide approach;
Chelonoides chathamensis;Passiflora foetida;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;San Cristobal;2011;;Contribution by vertebrates to seed dispersal effectiveness in the Galápagos Islands: a community-wide approach;
Chelonoides chathamensis;Psidium galapageium;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;San Cristobal;2011;;Contribution by vertebrates to seed dispersal effectiveness in the Galápagos Islands: a community-wide approach;
Chelonoides chathamensis;Psidium guajava;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;San Cristobal;2011;;Contribution by vertebrates to seed dispersal effectiveness in the Galápagos Islands: a community-wide approach;
Chelonoides chathamensis;Sida ciliaris;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;San Cristobal;2011;;Contribution by vertebrates to seed dispersal effectiveness in the Galápagos Islands: a community-wide approach;
Chelonoides chathamensis;Sida heredifolia;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;San Cristobal;2011;;Contribution by vertebrates to seed dispersal effectiveness in the Galápagos Islands: a community-wide approach;
Chelonoides chathamensis;Talinum paniculatum;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;San Cristobal;2011;;Contribution by vertebrates to seed dispersal effectiveness in the Galápagos Islands: a community-wide approach;
Chelonia mydas;Algae;;;Feeds on;Ecuador;Galapagos Islands;;;;Galapagos sea turtles (Noticias vol.38);
Chelonia mydas;Rhizophora mangle;;;Feeds on;Ecuador;Galapagos Islands;;;;Galapagos sea turtles (Noticias vol.38);
Chelonia mydas;Avicennia germinans;Black mangrove;;Feeds on;Ecuador;Galapagos Islands;;;;Galapagos sea turtles (Noticias vol.38);Interaction possible
Chelonia mydas;Conocarpus erectus;Button mangrove;;Feeds on;Ecuador;Galapagos Islands;;;;Galapagos sea turtles (Noticias vol.38);Interaction possible
Chelonia mydas;Laguncularia racemosa;White mangrove;;Feeds on;Ecuador;Galapagos Islands;;;;Galapagos sea turtles (Noticias vol.38);Interaction possible
Chelonia mydas;Rhizophora mangle;Red mangrove;;Feeds on;Ecuador;Galapagos Islands;;;;Galapagos sea turtles (Noticias vol.38);Interaction possible
Chelonoidis nigra;Opuntia echios;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;;;;Frugivory and seed dispersal in the Galapagos;DB based on litterature
Chelonoidis nigra;Opuntia galapageia;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;;;;Frugivory and seed dispersal in the Galapagos;DB based on litterature
Chelonoidis nigra;Opuntia megasperma;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;;;;Frugivory and seed dispersal in the Galapagos;DB based on litterature
Chelonoidis nigra;Hippomane mancinella;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;;;;Frugivory and seed dispersal in the Galapagos;DB based on litterature
Chelonoidis nigra;Prosopis juliflora;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;;;;Frugivory and seed dispersal in the Galapagos;DB based on litterature
Chelonoidis nigra;Psidium galapageium;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;;;;Frugivory and seed dispersal in the Galapagos;DB based on litterature
Chelonoidis nigra;Psidium guajava;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;;;;Frugivory and seed dispersal in the Galapagos;DB based on litterature
Chelonoidis nigra;Passiflora edulis;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;;;;Frugivory and seed dispersal in the Galapagos;DB based on litterature
Chelonoidis nigra;Passiflora incarnata;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;;;;Frugivory and seed dispersal in the Galapagos;DB based on litterature
Chelonoidis nigra;Solanum lycopersicum;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;;;;Frugivory and seed dispersal in the Galapagos;DB based on litterature
Conolophus sp.;Scolopendra galapagoensis;Galapagos centipede;;Feeds on;Ecuador;Galapagos Islands;;;;Galapagos. A Natural Histor (Book by Michael H. Jackson);
Conolophus sp.;Vertebrata;Meat;;Feeds on;Ecuador;Galapagos Islands;;;Yes;Galapagos. A Natural Histor (Book by Michael H. Jackson);
Conolophus sp.;Thraupidae;Finches;;Feeds on young;Ecuador;Galapagos Islands;Plazas;;;Galapagos. A Natural Histor (Book by Michael H. Jackson);
Conolophus sp.;Portulaca sp.;;;Feeds on flowers;Ecuador;Galapagos Islands;South Plaza;;;Galapagos. A Natural Histor (Book by Michael H. Jackson);
Conolophus sp.;Scutia spicata;Thorn shrub;;Feeds on fruits;Ecuador;Galapagos Islands;Plaza sur;;;Flowering plants of the Galapagos;
Conolophus pallidus;Opuntia echios;;;Feeds on;Ecuador;Galapagos Islands;;;;Size-denpendant predation by feral mammals on Galapgos Opuntia;
Conolophus pallidus;Opuntia echios;;;Feeds on fruits;Ecuador;Galapagos Islands;;;;Size-denpendant predation by feral mammals on Galapgos Opuntia;
Conolophus pallidus;Opuntia echios;;;Feeds on fruits/seeds;Ecuador;Galapagos Islands;;;;Frugivory and seed dispersal in the Galapagos;DB based on litterature
Conolophus pallidus;Opuntia sp.;;;Feeds on;Ecuador;Galapagos Islands;Barrington;1962;;Behavioral and ecological notes on the Galapagos Land iguanas;
Conolophus pallidus;Graminae;Grass;;Feeds on;Ecuador;Galapagos Islands;Barrington;1962;;Behavioral and ecological notes on the Galapagos Land iguanas;
Conolophus pallidus;Opuntia sp.;;;Feeds on fruits;Ecuador;Galapagos Islands;Barrington;1964;;Behavioral and ecological notes on the Galapagos Land iguanas;
Conolophus pallidus;Parkinsonia sp.;;;Feeds on;Ecuador;Galapagos Islands;Barrington;1964;;Behavioral and ecological notes on the Galapagos Land iguanas;
Conolophus pallidus;Opuntia sp.;;;Feeds on;Ecuador;Galapagos Islands;Santa Fe;1978;;﻿Diet, Digestion, and Food Preferences of Galapagos Land Iguana;
Conolophus pallidus;Opuntia sp.;;;Feeds on flowers;Ecuador;Galapagos Islands;Santa Fe;1978;;﻿Diet, Digestion, and Food Preferences of Galapagos Land Iguana;
Conolophus pallidus;Opuntia sp.;;;Feeds on fruits;Ecuador;Galapagos Islands;Santa Fe;1978;;﻿Diet, Digestion, and Food Preferences of Galapagos Land Iguana;
Conolophus pallidus;Lantana sp.;;;Feeds on;Ecuador;Galapagos Islands;Santa Fe;1978;;﻿Diet, Digestion, and Food Preferences of Galapagos Land Iguana;
Conolophus pallidus;Lantana sp.;;;Feeds on flowers;Ecuador;Galapagos Islands;Santa Fe;1978;;﻿Diet, Digestion, and Food Preferences of Galapagos Land Iguana;
Conolophus pallidus;Cordia sp.;;;Feeds on;Ecuador;Galapagos Islands;Santa Fe;1978;;﻿Diet, Digestion, and Food Preferences of Galapagos Land Iguana;
Conolophus pallidus;Cordia sp.;;;Feeds on flowers;Ecuador;Galapagos Islands;Santa Fe;1978;;﻿Diet, Digestion, and Food Preferences of Galapagos Land Iguana;
Conolophus subcristatus;Opuntia echios;;;Feeds on;Ecuador;Galapagos Islands;;;;Size-denpendant predation by feral mammals on Galapgos Opuntia;
